dataset,gamma_fixed_global,gamma_fixed_groupwise,gg_gpboost,gg_gpboost_boosted
fremtpl,1944.1329367322792,1968.2096429962403,1978.7221283790273,3434.736105858243
sandp500,17752.520663901596,2.203380163308018,15.601879144764963,31.061724095264818
us_fundamentals_assets,8603746562.096252,8603746562.096252,798021886.2661344,7778430069.921072
