model,dataset,rmse,mae,corr,alpha_hat,fit_seconds
gamma_fixed_global,fremtpl,8695.016478688804,1944.1329500965394,0.015983291381428004,0.8545454545454545,0.05900406837463379
gamma_fixed_groupwise,fremtpl,8718.788174959967,1968.1927178342526,0.029879891201029775,0.8545454545454545,0.015229940414428711
gg_gpboost_boosted,fremtpl,9105.583181617096,3434.736105858243,-0.010474070463042138,0.6,3.9429447650909424
gamma_fixed_global,sandp500,870166.737578352,17752.52066398211,0.36442960318452533,3.4,0.5523462295532227
gamma_fixed_groupwise,sandp500,7.178303910947442,2.2033801633095904,0.9975066580652104,3.4,0.2802619934082031
gg_gpboost_boosted,sandp500,56.091919623586875,31.061724095264815,0.8472585230550427,0.6,74.78874611854553
gamma_fixed_global,us_fundamentals_assets,69122048191.30336,12139701867.504213,0.0037402731895591376,0.6,0.1484971046447754
gamma_fixed_groupwise,us_fundamentals_assets,69122048191.30336,12139701867.504213,0.0037402731895591376,0.6,0.04656076431274414
gg_gpboost_boosted,us_fundamentals_assets,63532042787.01395,6576628108.124918,0.975781090382172,0.6,5.752697944641113
