dataset,gamma_fixed_global,gamma_fixed_groupwise,gg_gpboost_boosted
fremtpl,8695.016478688804,8718.788174959967,9105.583181617096
sandp500,870166.737578352,7.178303910947442,56.091919623586875
us_fundamentals_assets,69122048191.30336,69122048191.30336,63532042787.01395
