dataset,alpha,negll,delta_hat
us_fundamentals_assets,0.6,356267.8853143812,16.828194183329757
us_fundamentals_assets,0.8545454545454545,356267.8853143812,16.828194183329757
us_fundamentals_assets,1.109090909090909,356267.8853143812,16.828194183329757
us_fundamentals_assets,1.3636363636363635,356267.8853143812,16.828194183329757
us_fundamentals_assets,1.6181818181818182,356267.8853143812,16.828194183329757
us_fundamentals_assets,1.8727272727272726,356267.8853143812,16.828194183329757
us_fundamentals_assets,2.127272727272727,356267.8853143812,16.828194183329757
us_fundamentals_assets,2.381818181818182,356267.8853143812,16.828194183329757
us_fundamentals_assets,2.6363636363636362,356267.8853143812,16.828194183329757
us_fundamentals_assets,2.8909090909090907,356267.8853143812,16.828194183329757
us_fundamentals_assets,3.145454545454545,356267.8853143812,16.828194183329757
us_fundamentals_assets,3.4,356267.8853143812,16.828194183329757
