dataset,alpha,negll,delta_hat
sandp500,0.6,373792.75581213064,0.022091604613567416
sandp500,0.8545454545454545,373792.75581213064,0.022091604613567416
sandp500,1.109090909090909,373792.75581213064,0.022091604613567416
sandp500,1.3636363636363635,373792.75581213064,0.022091604613567416
sandp500,1.6181818181818182,373792.75581213064,0.022091604613567416
sandp500,1.8727272727272726,373792.75581213064,0.022091604613567416
sandp500,2.127272727272727,373792.75581213064,0.022091604613567416
sandp500,2.381818181818182,373792.75581213064,0.022091604613567416
sandp500,2.6363636363636362,373792.75581213064,0.022091604613567416
sandp500,2.8909090909090907,373792.75581213064,0.022091604613567416
sandp500,3.145454545454545,373792.75581213064,0.022091604613567416
sandp500,3.4,373792.75581213064,0.022091604613567416
