dataset,alpha,negll,delta_hat
fremtpl,0.6,110338.68484377435,0.8544731238172316
fremtpl,0.8545454545454545,110338.68484377435,0.8544731238172316
fremtpl,1.109090909090909,110338.68484377435,0.8544731238172316
fremtpl,1.3636363636363635,110338.68484377435,0.8544731238172316
fremtpl,1.6181818181818182,110338.68484377435,0.8544731238172316
fremtpl,1.8727272727272726,110338.68484377435,0.8544731238172316
fremtpl,2.127272727272727,110338.68484377435,0.8544731238172316
fremtpl,2.381818181818182,110338.68484377435,0.8544731238172316
fremtpl,2.6363636363636362,110338.68484377435,0.8544731238172316
fremtpl,2.8909090909090907,110338.68484377435,0.8544731238172316
fremtpl,3.145454545454545,110338.68484377435,0.8544731238172316
fremtpl,3.4,110338.68484377435,0.8544731238172316
