dataset,gamma_fixed_global,gamma_fixed_groupwise,gg_gpboost_boosted
fremtpl,0.015983291381428004,0.029879891201029775,-0.010474070463042138
sandp500,0.36442960318452533,0.9975066580652104,0.8472585230550427
us_fundamentals_assets,0.0037402731895591376,0.0037402731895591376,0.975781090382172
