dataset,gamma_fixed_global,gamma_fixed_groupwise,gg_gpboost_boosted
fremtpl,1944.1329500965394,1968.1927178342526,3434.736105858243
sandp500,17752.52066398211,2.2033801633095904,31.061724095264815
us_fundamentals_assets,12139701867.504213,12139701867.504213,6576628108.124918
